"player_name","nation","sport","sport_sub","age","birthdate","start_date","retirement_date","best_rank","date_rank","age_success","start_age","retire_age","sex","career_length"
"Goerges Julia","GER","Tennis","Tennis-Women",33,1988,"2005",2020,"14",2018,30,17,32,"female",15
"Gould(Irvin) Marissa","USA","Tennis","Tennis-Women",NA,NA,NA,2011,NA,NA,NA,NA,NA,"female",NA
"Grandin Natalie","RSA","Tennis","Tennis-Women",41,1981,"1999",2014,"159",2005,24,18,33,"female",15
"Groenefeld Anna-Lena","GER","Tennis","Tennis-Women",NA,NA,"2003",2021,"19",2006,NA,NA,NA,"female",18
"Halaburda Anastasiya","BLR","Tennis","Tennis-Women",27,1994,NA,2017,NA,NA,NA,NA,23,"female",NA
"Hampton Jamie","USA","Tennis","Tennis-Women",32,1990,"2009",2020,"28",2013,23,19,30,"female",11
"Hantuchova Daniela","SVK","Tennis","Tennis-Women",39,1983,"1999",2017,"9",2007,24,16,34,"female",18
"Henin Justine","BEL","Tennis","Tennis-Women",39,1982,NA,2011,"1",2007,25,NA,29,"female",NA
"Hingis Martina","SUI","Tennis","Tennis-Women",41,1980,NA,2018,"1",2000,20,NA,38,"female",NA
"Huber Liezel","USA","Tennis","Tennis-Women",45,1976,NA,2017,"148",1998,22,NA,41,"female",NA
"Hunt Louise","GBR","Tennis","Tennis-Women",NA,NA,NA,2021,NA,NA,NA,NA,NA,"female",NA
"Ivanovic Ana","SRB","Tennis","Tennis-Women",34,1987,"2003",2016,"4",2007,20,16,29,"female",13
"Jackson Jamea","USA","Tennis","Tennis-Women",35,1986,NA,2009,"45",2006,20,NA,23,"female",NA
"Jans-Ignacik Klaudia","POL","Tennis","Tennis-Women",NA,NA,NA,2016,"450",2004,NA,NA,NA,"female",NA
"Jidkova Alina","RUS","Tennis","Tennis-Women",45,1977,NA,NA,"55",2004,27,NA,NA,"female",NA
"Johansson Mathilde","FRA","Tennis","Tennis-Women",37,1985,"2000",2016,"77",2011,26,15,31,"female",16
"JovanovskiPetrovic Bojana","SRB","Tennis","Tennis-Women",NA,NA,NA,2021,NA,NA,NA,NA,NA,"female",NA
"Keothavong Anne","GBR","Tennis","Tennis-Women",38,1983,"2001",2013,"61",2008,25,18,30,"female",12
"Knapp Karin","ITA","Tennis","Tennis-Women",34,1987,"2002",2018,"41",2013,26,15,31,"female",16
"Konta Johanna","GBR","Tennis","Tennis-Women",31,1991,NA,2021,"9",2017,26,NA,30,"female",NA
"Koukalova Klara","CZE","Tennis","Tennis-Women",40,1982,NA,2016,"28",2012,30,NA,34,"female",NA
"Kramperova Katerina","CZE","Tennis","Tennis-Women",33,1988,NA,2019,"341",2012,24,NA,31,"female",NA
"Kremer Anne","LUX","Tennis","Tennis-Women",46,1975,"1998",2014,"85",2007,32,23,39,"female",16
"Kucova Zuzana","SVK","Tennis","Tennis-Women",39,1982,NA,2013,"122",2010,28,NA,31,"female",NA
"Kudryavtseva Alla","RUS","Tennis","Tennis-Women",34,1987,"2005",2021,"61",2010,23,18,34,"female",16
"Kulikova Regina","RUS","Tennis","Tennis-Women",33,1989,NA,2013,"93",2010,21,NA,24,"female",NA
"Larsson Johanna","SWE","Tennis","Tennis-Women",33,1988,"2006",2020,"50",2016,28,18,32,"female",14
"Li Na","CHN","Tennis","Tennis-Women",40,1982,"1999",2014,NA,NA,NA,17,32,"female",15
"Loit Emilie","FRA","Tennis","Tennis-Women",42,1979,"1994",2009,"41",2003,24,15,30,"female",15
"Makarova Ekaterina","RUS","Tennis","Tennis-Women",33,1988,"2004",2020,"12",2014,26,16,32,"female",16
"Makarova Ekaterina","RUS","Tennis","Tennis-Women",NA,NA,"2004",2020,"12",2014,NA,NA,NA,"female",16
"Marino Rebecca","CAN","Tennis","Tennis-Women",31,1990,"2008",2013,"63",2011,21,18,23,"female",5
"Mauresmo Amelie","FRA","Tennis","Tennis-Women",42,1979,"1993",2009,"2",2004,25,14,30,"female",16
"Mayr-Achleitner Patricia","AUT","Tennis","Tennis-Women",NA,NA,NA,2015,"86",2009,NA,NA,NA,"female",NA
"MedinaGarrigues Anabel","ESP","Tennis","Tennis-Women",NA,NA,"1998",2018,NA,NA,NA,NA,NA,"female",20
"Melzer Iveta","CZE","Tennis","Tennis-Women",NA,NA,NA,2014,"36",2004,NA,NA,NA,"female",NA
"Meusburger Yvonne","AUT","Tennis","Tennis-Women",38,1983,"1999",2015,"50",2013,30,16,32,"female",16
"Morigami Akiko","JPN","Tennis","Tennis-Women",42,1980,NA,NA,"48",2005,25,NA,NA,"female",NA
"Martina Muller","GER","Tennis","Tennis-Women",NA,NA,"1999",NA,NA,NA,NA,NA,NA,"female",NA
"O’Brien Katie","GBR","Tennis","Tennis-Women",NA,NA,NA,2011,NA,NA,NA,NA,NA,"female",NA
"Obziler Tzipora","ISR","Tennis","Tennis-Women",NA,NA,"1997",2009,NA,NA,NA,NA,NA,"female",12
"OsterlohSnape Lilia","USA","Tennis","Tennis-Women",NA,NA,NA,2019,NA,NA,NA,NA,NA,"female",NA
"Oudin Melanie","USA","Tennis","Tennis-Women",30,1991,"2008",2017,"49",2009,18,17,26,"female",9
"Park Soyeon","KOR","Tennis","Tennis-Women",27,1995,NA,2019,NA,NA,NA,NA,24,"female",NA
"Parmentier Pauline","FRA","Tennis","Tennis-Women",36,1986,NA,2020,"54",2018,32,NA,34,"female",NA
"ParraSantonja Arantxa","ESP","Tennis","Tennis-Women",NA,NA,"2000",2019,NA,NA,NA,NA,NA,"female",19
"Pascual VirginiaRuano","ESP","Tennis","Tennis-Women",NA,NA,NA,NA,NA,NA,NA,NA,NA,"female",NA
"Peer Shahar","ISR","Tennis","Tennis-Women",35,1987,"2004",2017,"13",2010,23,17,30,"female",13
"Pennetta Flavia","ITA","Tennis","Tennis-Women",40,1982,"2000",2016,"8",2015,33,18,34,"female",16
"Petrova Nadia","RUS","Tennis","Tennis-Women",39,1982,"1999",2017,"6",2006,24,17,35,"female",18
"Pin Camille","FRA","Tennis","Tennis-Women",40,1981,NA,2010,"76",2006,25,NA,29,"female",NA
"Radwanska Agnieszka","POL","Tennis","Tennis-Women",33,1989,"2005",2018,"3",2016,27,16,29,"female",13
"Razzano Virginie","FRA","Tennis","Tennis-Women",39,1983,"1999",2019,"19",2009,26,16,36,"female",20
"Rybarikova Magdalena","SVK","Tennis","Tennis-Women",33,1988,"2005",2020,"20",2017,29,17,32,"female",15
"Safarova Lucie","CZE","Tennis","Tennis-Women",35,1987,"2002",2019,"9",2015,28,15,32,"female",17
"Safina Dinara","RUS","Tennis","Tennis-Women",36,1986,"2000",2014,"2",2009,23,14,28,"female",14
"Salerni MariaEmilia","ARG","Tennis","Tennis-Women",NA,NA,NA,NA,NA,NA,NA,NA,NA,"female",NA
"Santangelo Mara","ITA","Tennis","Tennis-Women",40,1981,"1998",2011,"31",2006,25,17,30,"female",13
"Savchuk¸Olga","UKR","Tennis","Tennis-Women",NA,NA,NA,2018,NA,NA,NA,NA,NA,"female",NA
"Scheepers Chanelle","RSA","Tennis","Tennis-Women",38,1984,NA,2015,"38",2011,27,NA,31,"female",NA
"Schiavone Francesca","ITA","Tennis","Tennis-Women",41,1980,"1998",2018,"7",2010,30,18,38,"female",20
"Schnyder Patty","SUI","Tennis","Tennis-Women",43,1978,NA,2018,"7",2005,27,NA,40,"female",NA
"Sharapova Maria","RUS","Tennis","Tennis-Women",35,1987,"2001",2020,"2",2014,27,14,33,"female",19
"SolerEspinosa Silvia","ESP","Tennis","Tennis-Women",NA,NA,NA,2020,NA,NA,NA,NA,NA,"female",NA
"Spears Abigail","USA","Tennis","Tennis-Women",40,1981,"2000",2021,"221",2009,28,19,40,"female",21
"Stubbs Rennae","AUS","Tennis","Tennis-Women",51,1971,NA,2015,"683",2000,29,NA,44,"female",NA
"SuarezNavarro Carla","ESP","Tennis","Tennis-Women",NA,NA,NA,2021,NA,NA,NA,NA,NA,"female",NA
"Sugiyama Ai","JPN","Tennis","Tennis-Women",46,1975,"1992",2009,"10",2003,28,17,34,"female",17
"Szavay Agnes","HUN","Tennis","Tennis-Women",33,1988,"2004",2013,"20",2007,19,16,25,"female",9
"Tanaka Yuuki","JPN","Tennis","Tennis-Women",32,1990,NA,2019,"332",2016,26,NA,29,"female",NA
"Thyssen Nicole","NED","Tennis","Tennis-Women",33,1988,NA,NA,"237",2008,20,NA,NA,"female",NA
"Uhlirova Vladimira","CZE","Tennis","Tennis-Women",44,1978,NA,2016,"438",2003,25,NA,38,"female",NA
"Vaidisova Nicole","CZE","Tennis","Tennis-Women",33,1989,NA,2016,"10",2006,17,NA,27,"female",NA
"Vergeer Esther","NED","Tennis","Tennis-Women",NA,NA,NA,2019,NA,NA,NA,NA,NA,"female",NA
"Vinci Roberta","ITA","Tennis","Tennis-Women",39,1983,"1999",2018,"14",2013,30,16,35,"female",19
"Whiley Jordanne","GBR","Tennis","Tennis-Women",NA,NA,NA,2021,NA,NA,NA,NA,NA,"female",NA
"Wolfe Jarmila","AUS","Tennis","Tennis-Women",NA,NA,NA,2017,"33",2011,NA,NA,NA,"female",NA
"Wozniacki Caroline","DEN","Tennis","Tennis-Women",31,1990,"2005",2020,"1",2011,21,15,30,"female",15
"Wozniak Aleksandra","CAN","Tennis","Tennis-Women",34,1987,"2005",2018,"35",2009,22,18,31,"female",13
"Zhang Ling","HKG","Tennis","Tennis-Women",32,1989,NA,2020,"192",2014,25,NA,31,"female",NA
"Ancic Mario","CRO","Tennis","Tennis-Men",NA,NA,NA,2011,NA,NA,NA,NA,NA,"male",NA
"Arashov Arsan","KAZ","Tennis","Tennis-Men",22,2000,NA,2019,"1729",2015,15,NA,19,"male",NA
"Baghdatis Marcos","CYP","Tennis","Tennis-Men",37,1985,"2003",2019,"8",2006,21,18,34,"male",16
"Benneteau Julien","FRA","Tennis","Tennis-Men",40,1981,"2000",2018,"25",2014,33,19,37,"male",18
"Berdych Tomas","CZE","Tennis","Tennis-Men",36,1985,"2002",2019,"4",2015,30,17,34,"male",17
"Berlocq Carlos","ARG","Tennis","Tennis-Men",39,1983,"2001",2020,"37",2012,29,18,37,"male",19
"Davydenko Nikolay","RUS","Tennis","Tennis-Men",41,1981,"1999",2014,"3",2006,25,18,33,"male",15
"Descloix Dorian","FRA","Tennis","Tennis-Men",34,1988,NA,2020,"666",2010,22,NA,32,"male",NA
"Eltingh Jacco","NED","Tennis","Tennis-Men",NA,NA,NA,2011,NA,NA,NA,NA,NA,"male",NA
"EndaraRosales Ivan","ECU","Tennis","Tennis-Men",34,1988,"2006",2019,"367",2015,27,18,31,"male",13
"Falla Alejandro","COL","Tennis","Tennis-Men",38,1983,"2000",2018,"50",2012,29,17,35,"male",18
"Felix Jesus","DOM","Tennis","Tennis-Men",42,1980,NA,2021,"1715",2014,34,NA,41,"male",NA
"Fyrstenberg Mariusz","POL","Tennis","Tennis-Men",41,1980,"2001",2017,"317",2002,22,21,37,"male",16
"Grindley William","GBR","Tennis","Tennis-Men",NA,NA,NA,2020,NA,NA,NA,NA,NA,"male",NA
"Haarhuis Paul","NED","Tennis","Tennis-Men",56,1966,"1989",2011,"18",1995,29,23,45,"male",22
"Hanley Paul","AUS","Tennis","Tennis-Men",44,1977,"1997",2014,"395",2000,23,20,37,"male",17
"Hoeglinger Lucas","AUT","Tennis","Tennis-Men",34,1987,NA,2021,NA,NA,NA,NA,34,"male",NA
"Jeremiasz Michael","FRA","Tennis","Tennis-Men",NA,NA,NA,2017,NA,NA,NA,NA,NA,"male",NA
"Kiefer Nicolas","GER","Tennis","Tennis-Men",44,1977,"1995",2011,"4",2000,23,18,34,"male",16
"LanzoniNetto Americo","BRA","Tennis","Tennis-Men",33,1988,NA,2019,NA,NA,NA,NA,31,"male",NA
"Lindahl Nick","AUS","Tennis","Tennis-Men",33,1988,"2006",2015,"187",2010,22,18,27,"male",9
"Ljubicic Ivan","CRO","Tennis","Tennis-Men",43,1979,"1998",2012,"3",2006,27,19,33,"male",14
"Mahlum Colter","USA","Tennis","Tennis-Men",NA,NA,NA,2020,NA,NA,NA,NA,NA,"male",NA
"Mayer Florian","GER","Tennis","Tennis-Men",38,1983,"2001",2018,"18",2011,28,18,35,"male",17
"Mikos Konstantinos","GRE","Tennis","Tennis-Men",30,1992,NA,2021,"933",2014,22,NA,29,"male",NA
"Mirnyi Max","BLR","Tennis","Tennis-Men",44,1977,"1996",2018,"18",2003,26,19,41,"male",22
"Monaco Juan","ARG","Tennis","Tennis-Men",38,1984,"2002",2017,"10",2012,28,18,33,"male",15
"Montanes Albert","ESP","Tennis","Tennis-Men",41,1980,"1999",2017,"22",2010,30,19,37,"male",18
"Nalbandian David","ARG","Tennis","Tennis-Men",40,1982,"2000",2013,"3",2006,24,18,31,"male",13
"Podipnik-Castillo Hans","CHI","Tennis","Tennis-Men",34,1988,"2005",2020,"157",2015,27,17,32,"male",15
"Russell Michael","USA","Tennis","Tennis-Men",44,1978,"1998",2015,"60",2007,29,20,37,"male",17
"Safin Marat","RUS","Tennis","Tennis-Men",42,1980,"1997",2009,"1",2000,20,17,29,"male",12
"Santoro Fabrice","FRA","Tennis","Tennis-Men",49,1972,"1989",2010,"17",2001,29,17,38,"male",21
"Scott Dylan","USA","Tennis","Tennis-Men",NA,NA,NA,2021,NA,NA,NA,NA,NA,"male",NA
"Vliegen Kristof","BEL","Tennis","Tennis-Men",39,1982,"2001",2011,"30",2006,24,19,29,"male",10
"Wassen Rogier","NED","Tennis","Tennis-Men",45,1976,"1994",2014,"143",1999,23,18,38,"male",20
"Yatsyk Yahor","BLR","Tennis","Tennis-Men",29,1992,NA,2019,"1106",2013,21,NA,27,"male",NA
"Yatsyk Yahor","BLR","Tennis","Tennis-Men",29,1992,NA,2019,"1106",2013,21,NA,27,"male",NA
"Youzhny Mikhail","RUS","Tennis","Tennis-Men",39,1982,"1999",2018,"8",2008,26,17,36,"male",19
"Sarah Abitbol","FRA","Iceskating","Iceskating-Women",46,1975,"1998",1998,"0",1998,23,23,23,"female",0
"Tsvetelina Abrasheva","BUL","Iceskating","Iceskating-Women",45,1977,"1994",1994,"0",1994,17,17,17,"female",0
"Marina Aganina","UZB","Iceskating","Iceskating-Women",36,1985,"2006",2006,"0",2006,21,21,21,"female",0
"Miki Ando","JPN","Iceskating","Iceskating-Women",34,1987,"2006",2010,"0",2008,21,19,23,"female",4
"Marta Andrade","ESP","Iceskating","Iceskating-Women",50,1972,"1994",1998,"0",1996,24,22,26,"female",4
"Marina Anissina","FRA","Iceskating","Iceskating-Women",46,1975,"1998",2002,"2",2000,25,23,27,"female",4
"Marie Arai","JPN","Iceskating","Iceskating-Women",40,1981,"1998",1998,"0",1998,17,17,17,"female",0
"Shizuka Arakawa","JPN","Iceskating","Iceskating-Women",40,1981,"1998",2006,"1",2002,21,17,25,"female",8
"Mao Asada","JPN","Iceskating","Iceskating-Women",31,1990,"2010",2014,"1",2012,22,20,24,"female",4
"Zuzana Babiaková","SVK","Iceskating","Iceskating-Women",44,1978,"2002",2002,"0",2002,24,24,24,"female",0
"Oksana Baiul","UKR","Iceskating","Iceskating-Women",44,1977,"1994",1994,"1",1994,17,17,17,"female",0
"Sherry Ball","CAN","Iceskating","Iceskating-Women",48,1974,"1992",1992,"0",1992,18,18,18,"female",0
"Vera Bazarova","RUS","Iceskating","Iceskating-Women",29,1993,"2010",2014,"0",2012,19,17,21,"female",4
"Yelena Bechke","RUS EUN","Iceskating","Iceskating-Women",56,1966,"1992",1992,"1",1992,26,26,26,"female",0
"Christina Beier","GER","Iceskating","Iceskating-Women",37,1984,"2010",2010,"0",2010,26,26,26,"female",0
"Tanith Belbin","USA","Iceskating","Iceskating-Women",37,1984,"2006",2010,"1",2008,24,22,26,"female",4
"Olena Belusovska","UKR","Iceskating","Iceskating-Women",41,1980,"1994",1994,"0",1994,14,14,14,"female",0
"Kateřina Beránková","CZE","Iceskating","Iceskating-Women",44,1977,"1998",2002,"0",2000,23,21,25,"female",4
"Yelena Berezhnaya","LAT RUS","Iceskating","Iceskating-Women",NA,NA,"1994",2002,"2",NA,NA,NA,NA,"female",8
"Enikő Berkes","HUN","Iceskating","Iceskating-Women",46,1975,"1994",1994,"0",1994,19,19,19,"female",0
"Oľga Beständigová","SVK","Iceskating","Iceskating-Women",43,1979,"2002",2002,"0",2002,23,23,23,"female",0
"Yuliya Bilohlazova","UKR","Iceskating","Iceskating-Women",34,1987,"2006",2006,"0",2006,19,19,19,"female",0
"Nicole Bobek","USA","Iceskating","Iceskating-Women",44,1977,"1998",1998,"0",1998,21,21,21,"female",0
"Yekaterina Bobrova","ROC RUS","Iceskating","Iceskating-Women",32,1990,"2010",2018,"2",NA,NA,20,28,"female",8
"Tony-Sabrina Bombardieri","ITA","Iceskating","Iceskating-Women",44,1978,"1998",1998,"0",1998,20,20,20,"female",0
"Surya Bonaly","FRA","Iceskating","Iceskating-Women",48,1973,"1992",1998,"0",1995,21,19,25,"female",6
"Shae-Lynn Bourne","CAN","Iceskating","Iceskating-Women",46,1976,"1994",2002,"0",1998,22,18,26,"female",8
"Isabelle Brasseur","CAN","Iceskating","Iceskating-Women",51,1970,"1988",1994,"2",1991,21,18,24,"female",6
"Melanie Bruce","GBR","Iceskating","Iceskating-Women",50,1972,"1992",1992,"0",1992,20,20,20,"female",0
"Mariya Butyrskaya","RUS","Iceskating","Iceskating-Women",49,1972,"1998",2002,"0",2000,28,26,30,"female",4
"Stefania Calegari","ITA","Iceskating","Iceskating-Women",55,1967,"1992",1992,"0",1992,25,25,25,"female",0
"Anna Cappellini","ITA","Iceskating","Iceskating-Women",35,1987,"2010",2018,"0",NA,NA,23,31,"female",8
"Danielle Carr-McGrath","AUS","Iceskating","Iceskating-Women",52,1969,"1992",1998,"0",1995,25,23,29,"female",6
"Joanne Carter","AUS","Iceskating","Iceskating-Women",42,1980,"1998",2006,"0",2002,22,18,26,"female",8
"Galit Chait","ISR","Iceskating","Iceskating-Women",47,1975,"1998",2006,"0",2002,27,23,31,"female",8
"Chen Lu","CHN","Iceskating","Iceskating-Women",NA,NA,"1992",1998,"2",NA,NA,NA,NA,"female",6
"Svitlana Chernikova","UKR","Iceskating","Iceskating-Women",45,1977,"1994",1994,"0",1994,17,17,17,"female",0
"Josée Chouinard","CAN","Iceskating","Iceskating-Women",52,1969,"1992",1994,"0",1993,24,23,25,"female",2
"Radmila Chroboková","CZE","Iceskating","Iceskating-Women",45,1976,"1994",1994,"0",1994,18,18,18,"female",0
"Tetiana Chuvaieva","UKR","Iceskating","Iceskating-Women",39,1983,"2002",2002,"0",2002,19,19,19,"female",0
"Željka Čižmešija","CRO YUG","Iceskating","Iceskating-Women",51,1970,"1988",1992,"0",1990,20,18,22,"female",4
"Michela Cobisi","ITA","Iceskating","Iceskating-Women",39,1982,"2002",2002,"0",2002,20,20,20,"female",0
"Sasha Cohen","USA","Iceskating","Iceskating-Women",37,1984,"2002",2006,"1",2004,20,18,22,"female",4
"Joanne Conway","GBR","Iceskating","Iceskating-Women",51,1971,"1988",1992,"0",1990,19,17,21,"female",4
"Penny Coomes","GBR","Iceskating","Iceskating-Women",33,1989,"2010",2018,"0",NA,NA,21,29,"female",8
"Karen Courtland","USA","Iceskating","Iceskating-Women",51,1970,"1994",1994,"0",1994,24,24,24,"female",0
"Anna Croci","ITA","Iceskating","Iceskating-Women",49,1972,"1992",1992,"0",1992,20,20,20,"female",0
"Vanessa Crone","CAN","Iceskating","Iceskating-Women",31,1990,"2010",2010,"0",2010,20,20,20,"female",0
"Krisztina Czakó","HUN","Iceskating","Iceskating-Women",43,1978,"1992",1994,"0",1993,15,14,16,"female",2
"Meryl Davis","USA","Iceskating","Iceskating-Women",35,1987,"2010",2014,"3",2012,25,23,27,"female",4
"Nicole Della Monica","ITA","Iceskating","Iceskating-Women",33,1989,"2010",2022,"0",NA,NA,21,33,"female",12
"Isabelle Delobel","FRA","Iceskating","Iceskating-Women",43,1978,"2002",2010,"0",2006,28,24,32,"female",8
"Dominique Deniaud","FRA","Iceskating","Iceskating-Women",44,1977,"1998",1998,"0",1998,21,21,21,"female",0
"Albena Denkova","BUL","Iceskating","Iceskating-Women",47,1974,"1998",2006,"0",2002,28,24,32,"female",8
"Caydee Denney","USA","Iceskating","Iceskating-Women",28,1993,"2010",2010,"0",2010,17,17,17,"female",0
"Viktoriya Dimitrova","BUL","Iceskating","Iceskating-Women",45,1976,"1992",1992,"0",1992,16,16,16,"female",0
"Agnieszka Domańska","POL","Iceskating","Iceskating-Women",47,1975,"1994",1994,"0",1994,19,19,19,"female",0
"Oksana Domnina","RUS","Iceskating","Iceskating-Women",37,1984,"2006",2010,"1",2008,24,22,26,"female",4
"Alisa Drei","FIN","Iceskating","Iceskating-Women",44,1978,"1998",1998,"0",1998,20,20,20,"female",0
"Margarita Drobiazko","LTU","Iceskating","Iceskating-Women",50,1971,"1992",2006,"0",1998,27,21,35,"female",14
"Jessica Dubé","CAN","Iceskating","Iceskating-Women",34,1987,"2006",2010,"0",2008,21,19,23,"female",4
"Marie-France Dubreuil","CAN","Iceskating","Iceskating-Women",47,1974,"2002",2006,"0",2004,30,28,32,"female",4
"Isabelle Duchesnay","FRA","Iceskating","Iceskating-Women",58,1963,"1988",1992,"1",1990,27,25,29,"female",4
"Klára Engi","HUN","Iceskating","Iceskating-Women",54,1967,"1984",1992,"0",1988,21,17,25,"female",8
"Amanda Evora","USA","Iceskating","Iceskating-Women",37,1984,"2010",2010,"0",2010,26,26,26,"female",0
"Federica Faiella","ITA","Iceskating","Iceskating-Women",41,1981,"2002",2010,"0",2006,25,21,29,"female",8
"Yevheniya Filanenko","UKR","Iceskating","Iceskating-Women",39,1982,"1998",1998,"0",1998,16,16,16,"female",0
"Eva-Maria Fitze","GER","Iceskating","Iceskating-Women",40,1982,"2006",2006,"0",2006,24,24,24,"female",0
"Rachael Flatt","USA","Iceskating","Iceskating-Women",29,1992,"2010",2010,"0",2010,18,18,18,"female",0
"Silvia Fontana","ITA","Iceskating","Iceskating-Women",45,1976,"2002",2006,"0",2004,28,26,30,"female",4
"Kristin Fraser","AZE","Iceskating","Iceskating-Women",42,1980,"2002",2006,"0",2004,24,22,26,"female",4
"Barbara Fusar Poli","ITA","Iceskating","Iceskating-Women",50,1972,"1998",2006,"1",2002,30,26,34,"female",8
"Elene Gedevanishvili","GEO","Iceskating","Iceskating-Women",32,1990,"2006",2014,"0",2010,20,16,24,"female",8
"Diane Gerencser","ITA","Iceskating","Iceskating-Women",50,1972,"1998",1998,"0",1998,26,26,26,"female",0
"Anastasiya Gimazetdinova","UZB","Iceskating","Iceskating-Women",42,1980,"2006",2010,"0",2008,28,26,30,"female",4
"Vanessa Giunchi","ITA","Iceskating","Iceskating-Women",41,1980,"2002",2002,"0",2002,22,22,22,"female",0
"Anuschka Gläser","GER","Iceskating","Iceskating-Women",52,1969,"1994",1994,"0",1994,25,25,25,"female",0
"Jelena Glebova","EST","Iceskating","Iceskating-Women",32,1989,"2006",2014,"0",2010,21,17,25,"female",8
"Jennifer Goolsbee","GER","Iceskating","Iceskating-Women",53,1968,"1994",1994,"0",1994,26,26,26,"female",0
"Katya Gordeyeva","RUS URS","Iceskating","Iceskating-Women",51,1971,"1988",1994,"2",1991,20,17,23,"female",6
"Anastasia Grebenkina","ARM","Iceskating","Iceskating-Women",NA,NA,"2006",2006,"0",NA,NA,NA,NA,"female",0
"Melissa Gregory","USA","Iceskating","Iceskating-Women",41,1981,"2006",2006,"0",2006,25,25,25,"female",0
"Pasha Grishchuk","RUS EUN","Iceskating","Iceskating-Women",51,1971,"1992",1998,"2",1995,23,21,27,"female",6
"Helena Grundberg","SWE","Iceskating","Iceskating-Women",49,1972,"1998",1998,"0",1998,26,26,26,"female",0
"Natalia Gudina","ISR","Iceskating","Iceskating-Women",44,1977,"2002",2002,"0",2002,25,25,25,"female",0
"Vanessa Gusmeroli","FRA","Iceskating","Iceskating-Women",43,1978,"1998",2002,"0",2000,22,20,24,"female",4
"Gwak Min-Jeong","KOR","Iceskating","Iceskating-Women",NA,NA,"2010",2010,"0",NA,NA,NA,NA,"female",0
"Lyne Haddad","FRA","Iceskating","Iceskating-Women",44,1978,"1992",1992,"0",1992,14,14,14,"female",0
"Kamila Hájková","CZE","Iceskating","Iceskating-Women",34,1987,"2010",2010,"0",2010,23,23,23,"female",0
"Han Bing","CHN","Iceskating","Iceskating-Women",52,1969,"1992",1992,"0",1992,23,23,23,"female",0
"Beata Handra","USA","Iceskating","Iceskating-Women",45,1977,"2002",2002,"0",2002,25,25,25,"female",0
"Tonya Harding","USA","Iceskating","Iceskating-Women",51,1970,"1992",1994,"0",1993,23,22,24,"female",2
"Maylin Hausch-Wende","GER","Iceskating","Iceskating-Women",33,1988,"2010",2014,"0",2012,24,22,26,"female",4
"Sarah Hecken","GER","Iceskating","Iceskating-Women",28,1993,"2010",2010,"0",2010,17,17,17,"female",0
"Idora Hegel","CRO","Iceskating","Iceskating-Women",39,1983,"2002",2006,"0",2004,21,19,23,"female",4
"Marcy Hinzmann","USA","Iceskating","Iceskating-Women",40,1982,"2006",2006,"0",2006,24,24,24,"female",0
"Nóra Hoffmann","HUN","Iceskating","Iceskating-Women",37,1985,"2006",2010,"0",2008,23,21,25,"female",4
"Yuliya Holovina","UKR","Iceskating","Iceskating-Women",39,1982,"2002",2006,"0",2004,22,20,24,"female",4
"Christine Hough","CAN","Iceskating","Iceskating-Women",52,1969,"1988",1992,"0",1990,21,19,23,"female",4
"Olena Hrushyna","UKR","Iceskating","Iceskating-Women",47,1975,"1998",2006,"1",2002,27,23,31,"female",8
"Huang Xintong","CHN","Iceskating","Iceskating-Women",NA,NA,"2010",2014,"0",NA,NA,NA,NA,"female",4
"Laetitia Hubert","FRA","Iceskating","Iceskating-Women",47,1974,"1992",2002,"0",1996,22,18,28,"female",10
"Eliane Hugentobler","SUI","Iceskating","Iceskating-Women",40,1981,"2002",2002,"0",2002,21,21,21,"female",0
"Emily Hughes","USA","Iceskating","Iceskating-Women",33,1989,"2006",2006,"0",2006,17,17,17,"female",0
"Sarah Hughes","USA","Iceskating","Iceskating-Women",37,1985,"2002",2002,"1",2002,17,17,17,"female",0
"Shirene Human","RSA","Iceskating","Iceskating-Women",42,1980,"1998",1998,"0",1998,18,18,18,"female",0
"Marika Humphreys","GBR","Iceskating","Iceskating-Women",45,1977,"2002",2002,"0",2002,25,25,25,"female",0
"Susan Anne Humphreys","CAN","Iceskating","Iceskating-Women",46,1975,"1994",1994,"0",1994,19,19,19,"female",0
"Kyoko Ina","USA","Iceskating","Iceskating-Women",49,1972,"1994",2002,"0",1998,26,22,30,"female",8
"Rena Inoue","JPN USA","Iceskating","Iceskating-Women",45,1976,"1992",2006,"0",1997,21,16,30,"female",14
"Midori Ito","JPN","Iceskating","Iceskating-Women",52,1969,"1988",1992,"1",1990,21,19,23,"female",4
"Liudmyla Ivanova","UKR","Iceskating","Iceskating-Women",43,1978,"1994",1994,"0",1994,16,16,16,"female",0
"Ivana Jakupčević","CRO","Iceskating","Iceskating-Women",45,1977,"1998",1998,"0",1998,21,21,21,"female",0
"Vanessa James","CAN FRA","Iceskating","Iceskating-Women",34,1987,"2010",2022,"0",NA,NA,23,35,"female",12
"Jessica Joseph","USA","Iceskating","Iceskating-Women",40,1982,"1998",1998,"0",1998,16,16,16,"female",0
"Anna Jurkiewicz","POL","Iceskating","Iceskating-Women",38,1984,"2010",2010,"0",2010,26,26,26,"female",0
"Mila Kajas","FIN","Iceskating","Iceskating-Women",50,1972,"1994",1994,"0",1994,22,22,22,"female",0
"Tuğba Karademir","TUR","Iceskating","Iceskating-Women",37,1985,"2006",2010,"0",2008,23,21,25,"female",4
"Aleksandra Kauc","POL","Iceskating","Iceskating-Women",42,1980,"2006",2006,"0",2006,26,26,26,"female",0
