"player_name","nation","sport","sport_sub","age","birthdate","start_date","retirement_date","best_rank","date_rank","age_success","start_age","retire_age","sex","career_length"
"Michael Krumm","DEU","Motorrace","Motorrace-Men",52,1970,"2013",2015,"32",2013,43,43,45,"male",2
"Michael Lewis","USA","Motorrace","Motorrace-Men",31,1990,"2012",2014,"9",2012,22,22,24,"male",2
"Michael Schrom","USA","Motorrace","Motorrace-Men",NA,NA,"2000",2003,NA,NA,NA,NA,NA,"male",3
"Michael Schumacher","DEU","Motorrace","Motorrace-Men",53,1969,"1991",2012,"1",1994,25,22,43,"male",21
"Michael Waltrip","USA","Motorrace","Motorrace-Men",59,1963,"2012",2017,"88",2012,49,49,54,"male",5
"Michal Bebenek","POL","Motorrace","Motorrace-Men",NA,NA,"2006",2013,"49",2012,NA,NA,NA,"male",7
"Michel Nykjaer","DNK","Motorrace","Motorrace-Men",42,1979,"2009",2013,"7",2013,34,30,34,"male",4
"Michele Alboreto","ITA","Motorrace","Motorrace-Men",44,1956,"1981",2000,"2",1985,29,25,44,"male",19
"Mika Hakkinen","FIN","Motorrace","Motorrace-Men",53,1968,"1991",2007,"1",1998,30,23,39,"male",16
"Mika Mäki","FIN","Motorrace","Motorrace-Men",34,1988,"2008",2010,NA,NA,NA,20,22,"male",2
"Mika Salo","FIN","Motorrace","Motorrace-Men",55,1966,"2014",2014,"19",2014,48,48,48,"male",0
"Mike Hezemans","NLD","Motorrace","Motorrace-Men",52,1969,"1997",2009,"2",2000,31,28,40,"male",12
"Mike Jordan","GBR","Motorrace","Motorrace-Men",64,1958,"2001",2008,"14",2001,43,43,50,"male",7
"Mikhail Aleshin","RUS","Motorrace","Motorrace-Men",35,1987,"2015",2019,"4",2018,31,28,32,"male",4
"Mikko Hirvonen","FIN","Motorrace","Motorrace-Men",41,1980,"2019",2019,"20",2019,39,39,39,"male",0
"Miloš Pavlovic","SRB","Motorrace","Motorrace-Men",39,1982,"2000",2019,NA,NA,NA,18,37,"male",19
"Nathan Kinch","GBR","Motorrace","Motorrace-Men",40,1982,"2003",2006,"6",2003,21,21,24,"male",3
"Nick Heidfeld","DEU","Motorrace","Motorrace-Men",45,1977,"2014",2018,"7",2016,39,37,41,"male",4
"Nick Leventis","GBR","Motorrace","Motorrace-Men",42,1980,"2012",2018,"7",2012,32,32,38,"male",6
"Nico Rosberg","DEU","Motorrace","Motorrace-Men",36,1985,"2006",2016,"1",2016,31,21,31,"male",10
"Nicola Larini","ITA","Motorrace","Motorrace-Men",58,1964,"2005",2009,"5",2007,43,41,45,"male",4
"Nicolas Kiesa","DNK","Motorrace","Motorrace-Men",44,1978,"2003",2006,"23",2003,25,25,28,"male",3
"Nicolas Vouilloz","FRA","Motorrace","Motorrace-Men",46,1976,"2007",2009,NA,NA,NA,31,33,"male",2
"Nicolaus Springer","DEU","Motorrace","Motorrace-Men",NA,NA,"2000",2002,"3",2002,NA,NA,NA,"male",2
"Nigel Mansell","GBR","Motorrace","Motorrace-Men",68,1953,"2007",2010,"24",2007,54,54,57,"male",3
"Nigel Melker","NLD","Motorrace","Motorrace-Men",31,1991,"2011",2013,NA,NA,NA,20,22,"male",2
"Nikita Troitskiy","RUS","Motorrace","Motorrace-Men",23,1999,"2018",2018,"15",2018,19,19,19,"male",0
"Oliver Bryant","GBR","Motorrace","Motorrace-Men",36,1985,"2016",2017,NA,NA,NA,31,32,"male",1
"Olivier Grouillard","FRA","Motorrace","Motorrace-Men",63,1958,"1997",2000,NA,NA,NA,39,42,"male",3
"Paolo Andreucci","ITA","Motorrace","Motorrace-Men",57,1965,"2006",2018,"19",2012,47,41,53,"male",12
"Paolo Montin","ITA","Motorrace","Motorrace-Men",45,1976,"1998",2005,NA,NA,NA,22,29,"male",7
"Pascal Fabre","FRA","Motorrace","Motorrace-Men",62,1960,"1998",2001,NA,NA,NA,38,41,"male",3
"Pasquale Di Sabatino","ITA","Motorrace","Motorrace-Men",34,1988,"2012",2014,"20",2014,26,24,26,"male",2
"Pastor Maldonado","VEN","Motorrace","Motorrace-Men",37,1985,"2018",2019,"12",2018,33,33,34,"male",1
"Patrick Friesacher","AUT","Motorrace","Motorrace-Men",41,1980,"2005",2005,"21",2005,25,25,25,"male",0
"Paul Belmondo","FRA","Motorrace","Motorrace-Men",59,1963,"1999",2007,"6",1999,36,36,44,"male",8
"Paul Gentilozzi","USA","Motorrace","Motorrace-Men",NA,NA,"2000",2010,NA,NA,NA,NA,NA,"male",10
"Pepe Oriola","ESP","Motorrace","Motorrace-Men",27,1994,"2018",2018,"6",2018,24,24,24,"male",0
"Peter Dumbreck","GBR","Motorrace","Motorrace-Men",48,1973,"2012",2014,"10",2012,39,39,41,"male",2
"Peter Kox","NLD","Motorrace","Motorrace-Men",58,1964,"1997",2016,"9",1997,33,33,52,"male",19
"Peter Terting","DEU","Motorrace","Motorrace-Men",38,1984,"2005",2017,"9",2006,22,21,33,"male",12
"Petru Florescu","ROU","Motorrace","Motorrace-Men",23,1999,"2017",2018,NA,NA,NA,18,19,"male",1
"Phil Bennett","GBR","Motorrace","Motorrace-Men",50,1971,"2005",2009,"20",2005,34,34,38,"male",4
"Phil Giebler","USA","Motorrace","Motorrace-Men",42,1980,"2003",2007,"17",2003,23,23,27,"male",4
"Philipp Peter","AUT","Motorrace","Motorrace-Men",53,1969,"2013",2013,"26",2013,44,44,44,"male",0
"Philippe Alliot","FRA","Motorrace","Motorrace-Men",67,1954,"2000",2006,"21",2003,49,46,52,"male",6
"Philippe Bugalski","FRA","Motorrace","Motorrace-Men",49,1963,"1991",2003,"7",1999,36,28,40,"male",12
"Piero Liatti","ITA","Motorrace","Motorrace-Men",60,1962,"1990",2004,"5",1996,34,28,42,"male",14
"Pierre Thiriet","FRA","Motorrace","Motorrace-Men",33,1989,"2013",2019,"8",2018,29,24,30,"male",6
"Ralf Aron","EST","Motorrace","Motorrace-Men",24,1998,"2017",2018,NA,NA,NA,19,20,"male",1
"Ralf Schumacher","DEU","Motorrace","Motorrace-Men",46,1975,"1997",2012,"4",2001,26,22,37,"male",15
"Ralfs Sirmacis","LVA","Motorrace","Motorrace-Men",NA,NA,"2013",2019,"3",2016,NA,NA,NA,"male",6
"Ralph Firman","IRL","Motorrace","Motorrace-Men",47,1975,"2003",2013,"19",2003,28,28,38,"male",10
"Raoul Hyman","ZAF","Motorrace","Motorrace-Men",26,1996,"2019",2019,"22",2019,23,23,23,"male",0
"Raul Boesel","BRA","Motorrace","Motorrace-Men",64,1957,"1990",2007,"16",1991,34,33,50,"male",17
